feature_name,number
title_pathsimilarity_max,358
description_similarity_30rel,433
nn_unimportant_in_bullets_num,246
st_pd__fourgram_jaccard_coef,538
tfidf_bullets_num,386
prtitleWithout_in_query_string_only_let,108
two_words_in_title_string_only_let,127
thekey_in_thekey,299
st_at__trigram_dice_dist,499
query_pathsimilarity_mean,353
word2vec_2,463
beforethekeys_ressimilarity_mean,315
wordWith_in_description_string_only_let,163
common_digits_in_title_num,130
word_in_description_num,166
beforethekey_in_bullets_sum,293
two_words_in_title_string_only_num,125
st_tfidf_2.1,451
wordFor_in_description_string_only_num,159
st_at_fourgram_tfidf,570
st_pd_unigram_tfidf,559
beforethekeys_thekey_lchsimilarity_mean,349
nn_unimportant_in_nn_important_in_title_sum,150
word_in_bullets_w_dash,230
is_query_misspelled,0
word_in_bullets_string_only_letratio,229
word_in_bullets_letratio,224
tfidf_nn_important_in_bullets_let,405
pd_at__fourgram_jaccard_coef,542
word2vec_23,484
nn_unimportant_in_nn_important_in_bullets_letratio,260
len_of_digits_in_bullets,237
query_in_title,110
thekey_in_bullets_sum,289
wordWith_in_bullets_string_only_num,216
query_material_in_material_convoluted,92
before2thekey_beforethekey_ressimilarity_max,368
size_of_materials_in_query,22
thekey_in_beforethekeys,302
st_at__trigram_jaccard_coef,533
query_material_in_material_assumedmatch,90
word_in_title_string_only_let,118
pt_at__triterm_jaccard_coef,552
nn_unimportant_in_nn_important_in_title_let,151
word2vec_14,475
st_pd__bigram_jaccard_coef,526
len_of_brands_in_attribute_bullets,31
ratio_of_nn_important_in_search_term,47
ratio_of_vbg_in_search_term,50
description_similarity_30,428
above8_dummy_frequency_of_beforethekey_thekey,424
thekeys_in_title,284
pd_at__bigram_dice_dist,496
len_of_product_title,36
nn_unimportant_in_bullets_letratio,248
thekey_before2thekey_pathsimilarity_mean,323
st_tfidf_5,442
query_brand_in_brand_nomatch,74
title_lchsimilarity_mean,361
pt_at__biterm_dice_dist,513
before2thekey_beforethekey_pathsimilarity_mean,365
before2thekey_beforethekey_pathsimilarity_max,364
ab_at_trigram_tfidf,593
thekeys_pathsimilarity_max,304
description_similarity_11-20,427
keyword_in_bullets_numratio,280
st_pt__biterm_jaccard_coef,543
st_tfidf_4.1,453
st_at__fourgram_dice_dist,505
query_material_in_all_partialmatch,94
len_of_query_beforethekey,43
query_material_in_material_fullmatch,88
word2vec_11,472
pt_at__bigram_dice_dist,495
description_similarity_20rel,431
st_pt__trigram_dice_dist,497
len_of_query_woBM,9
word_in_bullets_num,220
before2thekey_thekey_pathsimilarity_mean,341
st_pt__fourgram_jaccard_coef,537
st_ab_fourgram_tfidf,566
word_in_description_sum,167
nn_important_in_nn_unimportant_in_description_letratio,202
thekey_beforethekey_pathsimilarity_max,316
description_similarity_21-30rel,434
nn_important_in_nn_unimportant_in_bullets_letratio,256
vbg_in_vbg_in_bullets_let,266
st_pd__bigram_dice_dist,492
ratio_vowels_in_query,7
query_lchhsimilarity_max,354
nn_important_in_nn_unimportant_in_bullets_sum,254
keyword_in_description_num,272
len_of_title_w_dash_woBM,15
before2thekey_beforethekey_lchsimilarity_max,366
before2thekey_thekey_ressimilarity_mean,345
common_digits_in_description_jaccard,186
word2vec_13,474
pd_ab_unigram_tfidf,583
perc_digits_in_title,68
jj_rb_in_jj_rb_in_bullets_let,263
perc_digits_in_query,67
nn_important_in_bullets_let,243
st_tfidf_10,447
word_in_description_string_only_letratio,175
st_at__unigram_jaccard_coef,521
tfidf_matchtitle_num,390
nn_important_in_nn_important_in_title_letratio,144
keyword_in_titlekeys_sum,268
perc_digits_in_bullets,70
jj_rb_in_jj_rb_in_description_let,209
len_of_query_string_only_woBM,13
pt_at__trigram_jaccard_coef,535
tfidf_bullets_let,389
pt_pd__fourgram_jaccard_coef,540
st_tfidf_1.1,450
tfidf_jj_rb_in_bullets_let,423
word_in_description_let,168
nn_important_in_bullets_numratio,244
query_material_in_material_nomatch,91
beforethekey_in_beforethekey,300
beforethekeys_pathsimilarity_mean,311
nn_important_in_nn_unimportant_in_bullets_num,253
two_words_in_bullets_string_only_num,234
query_material_in_title_convoluted,98
wordFor_in_title_string_only_letratio,103
two_words_in_description_string_only_num,180
two_words_in_title_string_only_sum,126
st_ab_trigram_tfidf,565
nn_unimportant_in_nn_important_in_title_letratio,152
tfidf_description_num,385
query_material_in_all_assumedmatch,95
thekey_before2thekey_ressimilarity_mean,327
nn_important_in_nn_important_in_title_num,141
common_digits_in_description_ratio,185
len_of_attribute_bullets,38
nn_important_in_nn_unimportant_in_description_num,199
ratio_of_jj_rb_in_attribute_bullets,66
st_tfidf_5.1,454
nn_important_in_title_sum,134
word_in_title_string_only_sum,117
nn_important_in_nn_important_in_bullets_letratio,252
seqmatch_description_ratioscaled,379
beforethekey_before2thekey_ressimilarity_mean,375
st_tfidf_6.1,455
st_tfidf_0,437
beforethekeys_thekey_ressimilarity_max,350
wordWith_in_description_string_only_letratio,164
title_pathsimilarity_mean,359
tfidf_nn_unimportant_in_bullets_let,411
beforethekey_in_description_sum,291
word_in_title_w_dash,121
word_in_bullets_string_only_num,225
two_words_in_description_string_only_sum,181
beforethekey_thekey_pathsimilarity_max,334
two_words_in_description_string_only_let,182
st_ab_unigram_tfidf,563
two_words_in_description_let,179
keyword_in_titlekeys_letratio,271
st_tfidf_0.1,449
st_at__triterm_jaccard_coef,550
keyword_in_titlekeys_numratio,270
nn_important_in_nn_important_in_title_sum,142
st_pt__biterm_dice_dist,509
query_brand_in_all_convoluted,80
tfidf_matchtitle_stringonly_num,393
tfidf_title_let,387
pt_pd_trigram_tfidf,573
nn_important_in_title_letratio,137
pt_pd__trigram_jaccard_coef,534
nn_important_in_nn_important_in_bullets_sum,250
query_ressimilarity_mean,357
query_brand_in_title_partialmatch,82
thekeys_lchsimilarity_max,306
pt_at__unigram_dice_dist,489
vbg_in_vbg_in_description_let,212
jj_rb_in_jj_rb_in_bullets_num,261
word_in_bullets_let,222
pt_pd_unigram_tfidf,571
nn_unimportant_in_description_letratio,194
pt_pd__trigram_dice_dist,500
pt_at_fourgram_tfidf,582
common_digits_in_bullets_num,238
ab_at_unigram_tfidf,591
beforethekeys_thekey_pathsimilarity_mean,347
pt_ab_trigram_tfidf,577
word_in_bullets_string_only_numratio,228
word2vec_0,461
tfidf_nn_important_in_title_num,400
vbg_in_vbg_in_title_let,158
word2vec_3,464
pt_at__unigram_jaccard_coef,523
st_pd_bigram_tfidf,560
thekey_in_description_sum,287
keyword_in_titlekeys_jacnum,282
nn_important_in_title_let,135
st_tfidf_11,448
st_at_bigram_tfidf,568
beforethekey_before2thekey_lchsimilarity_max,372
len_of_product_title_woBM,16
thekey_beforethekey_ressimilarity_max,320
beforethekey_before2thekey_lchsimilarity_mean,373
len_of_query_keys,39
tfidf_title_querythekey_num,396
st_at__biterm_jaccard_coef,545
st_pd__unigram_jaccard_coef,520
st_pt__triterm_jaccard_coef,548
query_brand_in_title_convoluted,85
beforethekey_before2thekey_ressimilarity_max,374
nn_important_in_bullets_sum,242
beforethekey_thekey_ressimilarity_max,338
tfidf_jj_rb_in_title_num,418
query_ressimilarity_max,356
st_pd__triterm_dice_dist,515
two_words_in_bullets_sum,232
query_in_description,165
perc_digits_in_description,69
nn_important_in_bullets_letratio,245
wordWith_in_description_string_only_num,162
ratio_of_jj_rb_in_search_term,51
pt_ab_bigram_tfidf,576
wordWith_in_title_string_only_num,104
keyword_in_bullets_letratio,281
before2thekey_beforethekey_ressimilarity_mean,369
wordFor_in_title_string_only_num,101
nn_unimportant_in_title_num,138
beforethekeys_in_thekey,303
word_in_description_letratio,170
nn_important_in_bullets_num,241
tfidf_matchdescription_stringonly_num,394
query_brand_in_all_fullmatch,76
st_pt__unigram_jaccard_coef,519
keyword_in_bullets_let,279
tfidf_vbg_in_bullets_let,417
nn_unimportant_in_description_let,193
nn_unimportant_in_nn_important_in_description_sum,204
thekey_before2thekey_lchsimilarity_mean,325
word_in_description_string_only_sum,172
ratio_of_vbg_in_product_title,55
word2vec_20,481
pt_pd__triterm_jaccard_coef,551
vbg_in_vbg_in_description_num,210
tfidf_vbg_in_bullets_num,414
tfidf_nn_important_in_description_let,404
beforethekey_before2thekey_pathsimilarity_max,370
pd_ab_bigram_tfidf,584
word2vec_22,483
tfidf_nn_unimportant_in_bullets_num,408
word2vec_21,482
word_in_title_num,111
ratio_of_nn_important_in_attribute_bullets,62
vbg_in_vbg_in_title_num,156
query_in_bullets,219
len_of_digits_in_query,128
st_at__biterm_dice_dist,511
nn_unimportant_in_nn_important_in_bullets_let,259
size_of_materials_in_product_title,26
query_brand_in_title_assumedmatch,83
size_of_materials_in_product_description,30
st_pd__trigram_jaccard_coef,532
size_of_materials_in_attribute_bullets,34
st_tfidf_8,445
thekey_in_bullets_let,290
query_lchsimilarity_mean,355
description_similarity_21-30to10,436
beforethekey_in_description_let,292
st_tfidf_9,446
word_in_description_w_dash,176
len_of_query_with,11
pt_pd__bigram_dice_dist,494
nn_unimportant_in_nn_important_in_description_num,203
two_words_in_bullets_let,233
two_words_in_title_sum,123
len_of_product_description,37
ab_at_fourgram_tfidf,594
vbg_in_vbg_in_description_sum,211
thekey_beforethekey_lchsimilarity_max,318
st_tfidf_3.1,452
size_of_brands_in_product_title,24
query_material_in_all_nomatch,96
tfidf_title_num,384
st_pt_trigram_tfidf,555
tfidf_vbg_in_title_let,415
beforethekeys_lchsimilarity_mean,313
seqmatch_title_ratio,376
st_pt__bigram_jaccard_coef,525
st_pt__bigram_dice_dist,491
ratio_of_jj_rb_in_product_description,61
description_similarity_10,425
len_of_brands_in_product_description,27
st_at_unigram_tfidf,567
ratio_of_vbg_in_attribute_bullets,65
common_digits_in_bullets_jaccard,240
description_similarity_10rel,430
word2vec_7,468
word2vec_5,466
prtitleWithout_in_query_string_only_num,107
ratio_of_nn_unimportant_in_search_term,48
st_pt_triterm_tfidf,558
query_brand_in_title_fullmatch,81
tfidf_matchdescription_num,391
nn_important_in_nn_unimportant_in_title_letratio,148
seqmatch_bullets_ratioscaled,381
nn_important_in_description_num,187
word2vec_15,476
tfidf_nn_unimportant_in_description_num,407
word_in_bullets_string_only_let,227
tfidf_vbg_in_title_num,412
pd_at__trigram_dice_dist,502
nn_important_in_nn_important_in_description_num,195
thekey_before2thekey_lchsimilarity_max,324
thekey_in_nn_important_in_description_let,296
pt_at_bigram_tfidf,580
tfidf_vbg_in_description_let,416
thekey_beforethekeys_pathsimilarity_mean,329
ratio_of_nn_unimportant_in_attribute_bullets,63
ratio_of_nn_important_in_product_title,52
pt_at__fourgram_dice_dist,507
tfidf_jj_rb_in_description_let,422
tfidf_description_let,388
nn_important_in_description_numratio,190
nn_unimportant_in_bullets_let,247
thekey_beforethekey_ressimilarity_mean,321
two_words_in_title_let,124
keyword_in_titlekeys_jaclet,283
nn_unimportant_in_title_let,139
keyword_in_titlekeys_num,267
pt_pd__fourgram_dice_dist,506
two_words_in_description_sum,178
tfidf_title_querybeforethekey_num,397
pt_pd__triterm_dice_dist,517
wordFor_in_title_string_only_let,102
size_of_brands_in_query,20
jj_rb_in_jj_rb_in_title_let,155
jj_rb_in_jj_rb_in_description_num,207
pd_at__bigram_jaccard_coef,530
len_of_product_description_woBM,17
thekeys_pathsimilarity_mean,305
