,cnt_attribute,cnt_query,name,nwords
art plates,12,0,art plates,2
artehouse,4,0,artehouse,1
artifactory,14,0,artifactory,1
artistic weavers,126,19,artistic weavers,2
artscape,117,0,artscape,1
asante,1,0,asante,1
asb,19,22,asb,1
ashley hearth products,6,0,ashley hearth products,3
ashworth,16,0,ashworth,1
asm,1,0,asm,1
aspect,53,19,aspect,1
aspectek,25,0,aspectek,1
aspects,25,0,aspects,1
aspen snow cool,4,0,aspen snow cool,3
aston,112,33,aston,1
astracast,9,0,astracast,1
astroguard,11,0,astroguard,1
atdec,1,0,atdec,1
atg electronics,3,0,atg electronics,2
athens stonecasting,3,0,athens stonecasting,2
ati,1,0,ati,1
atlantic,47,12,atlantic,1
atlantic contemporary lifestyle,8,0,atlantic contemporary lifestyle,3
atlantic mills,2,0,atlantic mills,2
atlantic ultraviolet corporation,10,0,atlantic ultraviolet corporation,3
atlas homewares,48,0,atlas homewares,2
atmor,1,0,atmor,1
atrix,8,0,atrix,1
att,8,0,att,1
attic dek,2,2,attic dek,2
attic ease,4,0,attic ease,2
audio technica,2,0,audio technica,2
audiosource,1,0,audiosource,1
aulaea,1,0,aulaea,1
auralex,25,16,auralex,1
aurora lighting,1,0,aurora lighting,2
aussie,12,29,aussie,1
auto fol,2,0,auto fol,2
autochron,8,0,autochron,1
autocirc,6,0,autocirc,1
automatic home products,3,0,automatic home products,3
avallon,12,0,avallon,1
avanity,51,0,avanity,1
avanti,26,5,avanti,1
avanti pro,102,0,avanti pro,2
avantipro,2,0,avantipro,1
ave six,2,0,ave six,2
aven,13,0,aven,1
avenger weed killer,1,0,avenger weed killer,3
avenue lighting,1,0,avenue lighting,2
avf,9,0,avf,1
avf eco mount,20,0,avf eco mount,3
avf super slim,1,0,avf super slim,3
avue,2,0,avue,1
awavio,2,0,awavio,1
awnings in a box,9,17,awnings in a box,4
awntech,80,2,awntech,1
axxess,2,0,axxess,1
az home and gifts,8,0,az home and gifts,4
az patio heaters,8,0,az patio heaters,3
azek,22,37,azek,1
aztec lighting,6,0,aztec lighting,2
b air,7,0,b air,2
b in,4,0,b in,2
b. b. begonia,4,0,b. b. begonia,3
baam hp,2,0,baam hp,2
backer on,37,0,backer on,2
backyard discovery,34,27,backyard discovery,2
backyard x scapes,78,0,backyard x scapes,3
bag to nature,2,0,bag to nature,3
bakerstone,1,0,bakerstone,1
baldwin,152,110,baldwin,1
bali cut to size,206,18,bali cut to size,4
bali grab n go,12,0,bali grab n go,4
bali today,10,0,bali today,2
ballarini,1,0,ballarini,1
balta us,17,0,balta us,2
bar keepers friend,3,0,bar keepers friend,3
barclay,21,9,barclay,1
barclay products,192,0,barclay products,2
bare ground,53,0,bare ground,2
barebones living,4,0,barebones living,2
barenbrug,2,8,barenbrug,1
barracuda brackets,4,0,barracuda brackets,2
barrette,28,0,barrette,1
barska,32,0,barska,1
barton kramer,168,0,barton kramer,2
basco,44,30,basco,1
baseboarders,15,17,baseboarders,1
basement watchdog,26,0,basement watchdog,2
basen bench,9,0,basen bench,2
basset products,7,0,basset products,2
bath anywhere,6,0,bath anywhere,2
bath bliss,5,0,bath bliss,2
bathworks,26,0,bathworks,1
battery doctor,2,0,battery doctor,2
battery tender,4,0,battery tender,2
battic door,3,0,battic door,2
battic door energy conservation products,25,0,battic door energy conservation products,5
bayco,1,0,bayco,1
bayer advanced,37,0,bayer advanced,2
bayes,3,0,bayes,1
bayit home automation,6,0,bayit home automation,3
bayou classic,6,0,bayou classic,2
bazz,85,36,bazz,1
bdk,12,8,bdk,1
beacon house,12,0,beacon house,2
beapco,6,0,beapco,1
beast,8,13,beast,1
beaulieu,19,0,beaulieu,1
beauty mark,53,0,beauty mark,2
beckett,52,14,beckett,1
bedbug 911,22,0,bedbug 911,2
behlen,3,0,behlen,1
behr,125,843,behr,1
behr marquee,260,47,behr marquee,2
behr premium,503,80,behr premium,2
behr premium deckover,123,0,behr premium deckover,3
behr premium plus,531,80,behr premium plus,3
behr premium plus ultra,615,40,behr premium plus ultra,4
behr premium textured deckover,12,0,behr premium textured deckover,4
behr pro,44,14,behr pro,2
behrens,15,0,behrens,1
bel air lighting,129,0,bel air lighting,3
beldi,2,0,beldi,1
belkin,39,0,belkin,1
belknap hill trading post,4,0,belknap hill trading post,4
bella luna,1,0,bella luna,2
bellaterra home,24,0,bellaterra home,2
belle foret,49,6,belle foret,2
bello,19,2,bello,1
bellota,1,0,bellota,1
belvedere,1,0,belvedere,1
bemis,94,45,bemis,1
bench dog,9,0,bench dog,2
bench solution,2,0,bench solution,2
bend a drain,8,0,bend a drain,3
berlin flyer,1,0,berlin flyer,2
bernzomatic,84,16,bernzomatic,1
bessey,63,31,bessey,1
best barns,190,18,best barns,2
best of times,27,0,best of times,3
best quality lighting,38,0,best quality lighting,3
best step,3,0,best step,2
best value,8,0,best value,2
bestway laz y spa,1,0,bestway laz y spa,4
better built,7,0,better built,2
better gro,11,0,better gro,2
better life,1,0,better life,2
better living products,16,0,better living products,3
better tools,7,0,better tools,2
betty crocker,3,0,betty crocker,2
beyond basics,1,0,beyond basics,2
bic america,1,0,bic america,2
big air,1,0,big air,2
big ass fans,24,0,big ass fans,3
big bag bed,2,1,big bag bed,3
big john,4,0,big john,2
big red,32,0,big red,2
big tree,3,0,big tree,2
bigfoot,10,0,bigfoot,1
biggies,5,0,biggies,1
bighorn safe,4,0,bighorn safe,2
bigtub,11,0,bigtub,1
bilco,42,37,bilco,1
billy boots,1,0,billy boots,2
binford,20,0,binford,1
bio si,15,0,bio si,2
biobidet,6,0,biobidet,1
biolet,1,0,biolet,1
biopedic,5,0,biopedic,1
bioverse,1,0,bioverse,1
bird b gone,35,0,bird b gone,3
bird x,41,19,bird x,2
birdies,1,0,birdies,1
birdrock home,1,0,birdrock home,2
bison life,1,0,bison life,2
bison soil,1,0,bison soil,2
black and decker,872,487,black and decker,3
black bull,20,0,black bull,2
black diamond,1,0,black diamond,2
black flag,14,0,black flag,2
black kow,3,0,black kow,2
blackburn,71,0,blackburn,1
blackfire,2,0,blackfire,1
blackstone,4,1,blackstone,1
blanco,91,42,blanco,1
blast zone,3,0,blast zone,2
blaster,8,14,blaster,1
blazer international,20,0,blazer international,2
blc hardwood flooring,9,0,blc hardwood flooring,3
blind mark,2,0,blind mark,2
blisslights,3,0,blisslights,1
blitz,3,1,blitz,1
bloem,46,0,bloem,1
bloomsz,21,0,bloomsz,1
blu mol,69,0,blu mol,2
blue bidet,5,0,blue bidet,2
blue ember,4,0,blue ember,2
blue flame,30,10,blue flame,2
blue marble designs,1,0,blue marble designs,3
blue max,27,1,blue max,2
blue rhino,5,9,blue rhino,2
blue star group,7,0,blue star group,3
blue tap,6,0,blue tap,2
blue wave,115,0,blue wave,2
blueair,2,0,blueair,1
bluestone appliance,3,0,bluestone appliance,2
bluworld of water,31,0,bluworld of water,3
bmp 21,1,0,bmp 21,2
boardwalk,3,1,boardwalk,1
bob timberlake,4,0,bob timberlake,2
boen,18,0,boen,1
boerboel,5,0,boerboel,1
bogs,40,0,bogs,1
bona,45,11,bona,1
bond manufacturing,109,0,bond manufacturing,2
bonded logic inc,9,0,bonded logic inc,3
bonide,9,0,bonide,1
bonjour,1,0,bonjour,1
bootz industries,47,0,bootz industries,2
bora,6,0,bora,1
boraam,5,0,boraam,1
boral,4,0,boral,1
bosca,1,0,bosca,1
bosch,837,364,bosch,1
bosmere,5,0,bosmere,1
boss,1,6,boss,1
bostik,1,13,bostik,1
bostitch,86,63,bostitch,1
bottle skinz,8,0,bottle skinz,2
bougain,3,0,bougain,1
bougainvillea growers international,2,0,bougainvillea growers international,3
bouncecomfort,2,0,bouncecomfort,1
bounty,7,0,bounty,1
bowl fresh,3,0,bowl fresh,2
boyd specialty sleep,12,0,boyd specialty sleep,3
bradley,1,0,bradley,1
bradley smoker,2,0,bradley smoker,2
brady,71,0,brady,1
brainerd,10,0,brainerd,1
brasscraft,539,10,brasscraft,1
brasso,2,0,brasso,1
brasstech,8,0,brasstech,1
brawny industrial,2,0,brawny industrial,2
brewster,20,2,brewster,1
brian canvas products,13,0,brian canvas products,3
bridgewell resources,3,0,bridgewell resources,2
briggs and stratton,116,55,briggs and stratton,3
brillo,3,0,brillo,1
brinkmann,216,192,brinkmann,1
brinkmann pet products,8,0,brinkmann pet products,3
brinks home security,29,0,brinks home security,3
brinly hardy,49,2,brinly hardy,2
brisa,3,10,brisa,1
brita,1,0,brita,1
brite star,34,0,brite star,2
brk,16,22,brk,1
broan,398,77,broan,1
broan nutone,57,0,broan nutone,2
broil mate,7,11,broil mate,2
brondell,58,12,brondell,1
brother,16,12,brother,1
brown jordan,105,29,brown jordan,2
broyhill,2,0,broyhill,1
bruce,358,116,bruce,1
brush master,15,0,brush master,2
brussel bonsai,26,0,brussel bonsai,2
brutus,14,0,brutus,1
bsi products,26,0,bsi products,2
bubba,4,0,bubba,1
bubble stream,2,0,bubble stream,2
buck bros.,11,0,buck bros.,2
buck commander,3,0,buck commander,2
bucket boss,12,0,bucket boss,2
bucket buggy,1,0,bucket buggy,2
bucket head,3,0,bucket head,2
buddy products,32,0,buddy products,2
buffalo industries,4,0,buffalo industries,2
buffalo outdoor,4,0,buffalo outdoor,2
buffalo tools,47,0,buffalo tools,2
bug band,1,0,bug band,2
buggybeds,12,0,buggybeds,1
bugzip,1,0,bugzip,1
builder choice,214,0,builder choice,2
builders edge,433,11,builders edge,2
buildex,6,0,buildex,1
bull dog,1,0,bull dog,2
bull outdoor products,35,0,bull outdoor products,3
bullet tools,17,0,bullet tools,2
bullfrog,2,0,bullfrog,1
bully tools,59,0,bully tools,2
bulwark,3,0,bulwark,1
bungalow flooring,18,0,bungalow flooring,2
bungee flag,1,0,bungee flag,2
buoy beach,1,0,buoy beach,2
burley clay,1,0,burley clay,2
burndy,1,0,burndy,1
burpee,21,0,burpee,1
bush baby,1,0,bush baby,2
bussmann,1,12,bussmann,1
butler arts,25,0,butler arts,2
butterball,10,0,butterball,1
buyers products company,28,0,buyers products company,3
byers,1,0,byers,1
c. h. hanson,7,0,c. h. hanson,3
cabin creek,10,0,cabin creek,2
cabinetcoat,7,0,cabinetcoat,1
cabled,12,0,cabled,1
cables to go,3,0,cables to go,3
cadac,5,0,cadac,1
cake boss,21,0,cake boss,2
cal designs,1,0,cal designs,2
cal flame,118,14,cal flame,2
cal lighting,39,0,cal lighting,2
cal metro,1,0,cal metro,2
cala tools,1,0,cala tools,2
calculated industries,3,0,calculated industries,2
calcutta,25,1,calcutta,1
california air tools,59,0,california air tools,3
california umbrella,30,0,california umbrella,2
caliwel home and office,1,0,caliwel home and office,4
caliwel hvac,1,0,caliwel hvac,2
caliwel industrial,5,0,caliwel industrial,2
calmat,1,0,calmat,1
camco,110,10,camco,1
camillus,1,0,camillus,1
camo,35,34,camo,1
camp chef,32,0,camp chef,2
campbell hausfeld,78,12,campbell hausfeld,2
can fan,1,0,can fan,2
can filter group,3,0,can filter group,3
canadian playhouse factory,3,0,canadian playhouse factory,3
canadian spa company,17,0,canadian spa company,3
canarm,23,0,canarm,1
canary,2,0,canary,1
candice olson,5,0,candice olson,2
candy cane lane,2,0,candy cane lane,3
canine hardware,1,0,canine hardware,2
cannon,8,15,cannon,1
cantex,32,0,cantex,1
cap a tread,318,6,cap a tread,3
capel,8,0,capel,1
capital,9,14,capital,1
capitol,6,0,capitol,1
capri,12,0,capri,1
capture,9,3,capture,1
caravan sports,18,0,caravan sports,2
cardell,33,15,cardell,1
cardinal gates,6,0,cardinal gates,2
carex health brands,6,0,carex health brands,3
cargo boss,14,0,cargo boss,2
caring hands,2,0,caring hands,2
carlisle,191,20,carlisle,1
carlon,407,28,carlon,1
carol,3,0,carol,1
carol brand,7,0,carol brand,2
carolina cottage,3,0,carolina cottage,2
carolina pet company,2,0,carolina pet company,3
carpet pro,9,0,carpet pro,2
casa verde,1,0,casa verde,2
casablanca,64,26,casablanca,1
cascade,2,10,cascade,1
cash acme,31,0,cash acme,2
cat pumps,17,0,cat pumps,2
catalina creations,5,0,catalina creations,2
catamount,12,0,catamount,1
catchmaster,11,0,catchmaster,1
catskill craftsmen,45,0,catskill craftsmen,2
cavaliere,5,0,cavaliere,1
cavex,7,0,cavex,1
cci,1,0,cci,1
cdn,2,0,cdn,1
ce tech,273,14,ce tech,2
cedar creek,2,0,cedar creek,2
cedar summit,4,0,cedar summit,2
cedarberry hill,2,0,cedarberry hill,2
cedarsafe,27,0,cedarsafe,1
ceilingmax,7,0,ceilingmax,1
ceilume,55,0,ceilume,1
celestron,2,0,celestron,1
celiera,7,0,celiera,1
cellofoam,18,1,cellofoam,1
cellwood,89,0,cellwood,1
cement store,1,0,cement store,2
cendrex,2,0,cendrex,1
cenflex,8,4,cenflex,1
center stage bracket systems,3,0,center stage bracket systems,4
central brass,11,0,central brass,2
central garden and pet,9,0,central garden and pet,4
centrex plastics,6,0,centrex plastics,2
century,43,3,century,1
cerro,65,8,cerro,1
cerrowire,193,0,cerrowire,1
chamberlain,184,53,chamberlain,1
chameleon,2,0,chameleon,1
champion cooler,35,0,champion cooler,2
champion power equipment,19,0,champion power equipment,3
championship,9,0,championship,1
chandra,3,0,chandra,1
chaney instruments,1,0,chaney instruments,2
channel master,25,0,channel master,2
channellock,19,18,channellock,1
chapin,8,0,chapin,1
char broil,115,108,char broil,2
char griller,8,0,char griller,2
charcoal companion,38,0,charcoal companion,2
charlotte pipe,348,6,charlotte pipe,2
charmglow,3,11,charmglow,1
charmin,18,2,charmin,1
checkerboard lifestyle,1,0,checkerboard lifestyle,2
checkolite,2,0,checkolite,1
chef buddy,5,0,chef buddy,2
chef. choice,15,0,chef. choice,2
chefman,3,0,chefman,1
chem tainer industries,1,0,chem tainer industries,3
chemdry,4,0,chemdry,1
chenille craft,1,0,chenille craft,2
cherne,14,0,cherne,1
cherry valley feeder,1,0,cherry valley feeder,3
chesapeake merchandising,12,0,chesapeake merchandising,2
chicago cutlery,1,0,chicago cutlery,2
chicago faucets,53,10,chicago faucets,2
chicology,22,2,chicology,1
chief,2,0,chief,1
chim cap corp,9,0,chim cap corp,3
chimney free,3,0,chimney free,2
chloe lighting,3,0,chloe lighting,2
chomp,9,0,chomp,1
chris and chris,5,0,chris and chris,3
christmas by krebs,1,0,christmas by krebs,3
christmas tree company,1,0,christmas tree company,3
christy,4,0,christy,1
chroma,1,0,chroma,1
cinco,3,0,cinco,1
citristrip,14,0,citristrip,1
citrus ii,1,0,citrus ii,2
citrus magic,7,0,citrus magic,2
citrusgain,6,0,citrusgain,1
city pickers,9,0,city pickers,2
clam,2,0,clam,1
clark,22,0,clark,1
clark dietrich,14,0,clark dietrich,2
clark western,6,0,clark western,2
clarke,26,0,clarke,1
classen,2,0,classen,1
classic accessories,242,10,classic accessories,2
classic flame,1,0,classic flame,2
classic hardware bosetti marella,37,0,classic hardware bosetti marella,4
classic home,6,0,classic home,2
classic stone,37,0,classic stone,2
classy caps,19,0,classy caps,2
clauss,8,0,clauss,1
claymark,25,0,claymark,1
clean it,1,0,clean it,2
clean machine,18,18,clean machine,2
clean n dip,3,0,clean n dip,3
clean up,1,7,clean up,2
clean x,2,0,clean x,2
cleanforce,5,0,cleanforce,1
clearly secure,12,0,clearly secure,2
clearsounds,2,0,clearsounds,1
clearstream,14,0,clearstream,1
clearview,4,0,clearview,1
clendenin brothers,3,0,clendenin brothers,2
clesco,3,0,clesco,1
cleva industrial,4,0,cleva industrial,2
cli,1,0,cli,1
climax,31,0,climax,1
climbup,6,0,climbup,1
clopay,185,48,clopay,1
clorox,23,18,clorox,1
clorox pool and spa,2,0,clorox pool and spa,4
closet max,4,9,closet max,2
closetmaid,734,207,closetmaid,1
clover,1,2,clover,1
cmpc,22,0,cmpc,1
coast,51,25,coast,1
cobra,3,0,cobra,1
cobra anchors,6,0,cobra anchors,2
cobraco,35,0,cobraco,1
coby,1,0,coby,1
coco dry,5,0,coco dry,2
code one,10,0,code one,2
col met,25,0,col met,2
col met spray booths,1,0,col met spray booths,4
coleman,60,72,coleman,1
coleman cable,41,0,coleman cable,2
colonial mills,21,0,colonial mills,2
colorback,14,0,colorback,1
colorhouse,29,14,colorhouse,1
colour crete,1,0,colour crete,2
columbia forest products,189,0,columbia forest products,3
combat,2,0,combat,1
comet,1,0,comet,1
comfort glow,4,0,comfort glow,2
comfort seats,8,0,comfort seats,2
comfort zone,10,0,comfort zone,2
command,79,53,command,1
commutemate,1,0,commutemate,1
compactor,1,2,compactor,1
compare n save,28,0,compare n save,3
compass,1,0,compass,1
competition solar,4,0,competition solar,2
composigrip,14,0,composigrip,1
con tact,109,0,con tact,2
conair,1,0,conair,1
concepts in wood,7,0,concepts in wood,3
concern,6,0,concern,1
concord global trading,32,0,concord global trading,3
concrobium,20,0,concrobium,1
confer plastics,8,0,confer plastics,2
conform,1,0,conform,1
connecticut electric,31,0,connecticut electric,2
conservco,11,0,conservco,1
construction metals,8,0,construction metals,2
construction metals inc.,9,0,construction metals inc.,3
constructor,34,0,constructor,1
contico,1,0,contico,1
continental contitech,8,0,continental contitech,2
continental home hardware,1,0,continental home hardware,3
contractor choice,29,0,contractor choice,2
contractors wardrobe,97,2,contractors wardrobe,2
convenience concepts,2,0,convenience concepts,2
convenience concepts. inc.,1,0,convenience concepts. inc.,3
coolaroo,69,31,coolaroo,1
cooper bussmann,72,0,cooper bussmann,2
cop security,3,0,cop security,2
copper factory,11,0,copper factory,2
copper mountain hardware,1,0,copper mountain hardware,3
coppercraft,1,0,coppercraft,1
cordelia lighting,1,0,cordelia lighting,2
cordova,41,0,cordova,1
core covers,5,0,core covers,2
corningware,2,0,corningware,1
corona,11,1,corona,1
coroplast,9,0,coroplast,1
corosplast,10,0,corosplast,1
corroseal,1,1,corroseal,1
corso italia,7,0,corso italia,2
cortelco,2,0,cortelco,1
cosco,49,0,cosco,1
costa farms,2,0,costa farms,2
cotto,1,4,cotto,1
country cooler,1,0,country cooler,2
couristan,3,0,couristan,1
cover valet,2,0,cover valet,2
coverking,1,0,coverking,1
cox,28,0,cox,1
cozy products,7,0,cozy products,2
crab pot trees,28,0,crab pot trees,3
crack patch,2,0,crack patch,2
crack rite,2,0,crack rite,2
crack stix,13,0,crack stix,2
cramik enterprises,10,0,cramik enterprises,2
crane,19,25,crane,1
crates and pallet,10,0,crates and pallet,3
crawford,1,0,crawford,1
crc,3,0,crc,1
creative accents,37,11,creative accents,2
creative composites,2,0,creative composites,2
creative home,4,0,creative home,2
creative home ideas,1,0,creative home ideas,3
cree,278,151,cree,1
crescent,51,26,crescent,1
creteclean,5,0,creteclean,1
crl,3,0,crl,1
crockpot,5,0,crockpot,1
crosley,50,15,crosley,1
crossover,7,0,crossover,1
crown bolt,1294,37,crown bolt,2
crown metalworks,10,0,crown metalworks,2
croydex,17,0,croydex,1
crusher,3,0,crusher,1
crystalline pool system,2,0,crystalline pool system,3
cst berger,9,0,cst berger,2
ctek,5,0,ctek,1
cub cadet,341,166,cub cadet,2
cuisinart,50,0,cuisinart,1
culligan,35,16,culligan,1
cuori,13,0,cuori,1
curad,5,0,curad,1
curt,27,4,curt,1
curtain fresh,1,0,curtain fresh,2
curtainworks,10,0,curtainworks,1
custom building products,495,0,custom building products,3
custom leathercraft,2,0,custom leathercraft,2
cut n crown,1,0,cut n crown,3
cutinator,1,0,cutinator,1
cutler kitchen and bath,24,0,cutler kitchen and bath,4
cutting edge,2,0,cutting edge,2
cyberpower,4,0,cyberpower,1
cycle force,11,0,cycle force,2
cyclone,1,2,cyclone,1
cyron,5,0,cyron,1
d and d truclose,3,0,d and d truclose,4
d con,4,2,d con,2
d line,1,0,d line,2
d link,12,16,d link,2
d. b. smith,3,0,d. b. smith,3
daconil,3,1,daconil,1
dahua,4,0,dahua,1
daich rollerrock,9,0,daich rollerrock,2
dale tiffany,71,1,dale tiffany,2
daltile,1212,212,daltile,1
damascus,2,0,damascus,1
dambuster,7,0,dambuster,1
damprid,1,0,damprid,1
danby,88,66,danby,1
danby premiere,3,0,danby premiere,2
danco,420,30,danco,1
dannmar,1,8,dannmar,1
danze,80,15,danze,1
dap,259,16,dap,1
dart,4,0,dart,1
dasco pro,31,0,dasco pro,2
datacomm,12,6,datacomm,1
dateline workshop,7,0,dateline workshop,2
dawson,1,3,dawson,1
dbhl,63,14,dbhl,1
dc america,11,0,dc america,2
dead on tools,8,0,dead on tools,3
dearborn brass,8,0,dearborn brass,2
